model,roc_auc,pr_auc,brier_score,precision,recall
XGBoost,0.7934623993712219,0.4576668039273261,0.08116278052330017,0.6548463356973995,0.2618147448015123
Logistic Regression,0.7579948461967322,0.3977764267352204,0.08663999356187593,0.6865671641791045,0.17391304347826086
